Province,Y,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15
ACEH,30.86,9.37,1.63,6.90,39.40,77.55,69.31,99.87,12.60,64.43,1.96,"4,29",32.35,"1,35",2.1,72.18
SUMATERA UTARA,17.50,9.58,0.78,6.33,42.39,82.02,68.22,99.16,12.34,69.48,5.48,"3,83",31.35,"1,12",4.3,72
SUMATERA BARAT,12.67,9.07,0.73,6.02,39.56,68.68,82.09,98.86,13.19,56.67,2.05,"3,26",30.30,"1,85",1.6,72.65
RIAU,14.12,9.19,0.76,10.61,36.57,83.64,74.93,98.32,9.38,70.63,2.38,"3,2",32.65,"1,87",1.4,72.94
JAMBI,15.76,8.60,1.79,9.25,46.33,80.36,73.41,99.03,9.85,62.54,1.31,"3,85",31.80,"2,32",0.9,71.63
SUMATERA SELATAN,25.63,8.30,1.14,6.82,52.39,77.29,75.28,98.98,10.15,57.86,3.14,"3,32",34.05,"2,3",2.6,70.24
BENGKULU,29.65,8.87,1.94,8.64,43.76,79.81,78.83,99.44,7.37,51.36,0.75,"4,49",32.35,"1,9",0.8,71.64
LAMPUNG,24.29,8.08,2.46,10.25,52.03,83.89,80.69,99.65,9.23,61.56,3.33,"3,89",31.85,"1,51",3.9,69.9
KEP. BANGKA BELITUNG,9.57,8.08,1.75,11.05,19.33,92.24,89.44,99.75,10.07,27.60,0.54,"3,36",25.15,"3,62",0.3,71.69
KEP. RIAU,11.87,10.18,0.84,7.71,14.47,91.62,83.77,99.71,20.03,50.23,0.78,"2,25",34.10,"1,85",0.3,75.79
DKI JAKARTA,9.39,11.17,0.29,2.20,24.11,95.17,79.52,100.00,17.01,40.00,3.89,"2,61",41.00,"2,89",1.2,81.11
JAWA BARAT,16.37,8.61,1.27,4.44,40.64,71.66,79.49,99.93,18.74,53.14,17.89,"3,86",40.90,"2,5",22.7,72.45
JAWA TENGAH,23.04,7.75,5.68,12.34,55.91,83.28,85.81,99.96,11.91,66.47,13.47,"8,28",37.00,"2,3",17.7,72.16
DI YOGYAKARTA,24.71,9.64,4.44,10.18,65.03,97.12,87.54,100.00,8.84,85.15,1.36,"3,02",43.85,"4,91",1.8,80.22
JAWA TIMUR,21.99,7.88,6.87,9.14,52.50,80.97,81.88,99.93,10.91,66.93,14.99,"6,75",36.90,"2,76",16.5,72.14
BANTEN,13.16,8.93,2.03,2.80,35.30,82.89,80.27,99.95,17.99,60.78,4.42,"4,29",36.40,"3,16",2.9,72.72
BALI,9.25,9.06,4.59,7.43,40.93,95.95,91.30,99.91,10.79,78.47,1.60,"2,42",37.65,"-3,19",0.8,75.69
NUSA TENGGARA BARAT,27.97,7.38,11.30,1.78,43.82,82.85,75.10,99.86,6.98,62.90,1.98,"8,49",38.25,"0,75",2.6,68.65
NUSA TENGGARA TIMUR,41.43,7.69,5.53,11.84,29.78,73.36,56.33,92.43,7.15,40.41,1.98,"7,37",34.25,"0,89",2.3,65.28
KALIMANTAN BARAT,13.99,7.45,5.97,19.60,51.77,78.39,74.94,96.51,11.55,61.17,2.01,"4,48",31.40,"3,37",1.6,67.9
KALIMANTAN TENGAH,10.32,8.64,0.88,8.88,30.45,73.77,79.63,98.75,8.78,55.34,0.99,"4,18",32.15,"2,17",0.5,71.25
KALIMANTAN SELATAN,9.39,8.34,1.64,2.78,39.80,81.43,87.16,99.76,9.28,57.50,1.51,"6,46",32.75,"2,12",0.9,71.28
KALIMANTAN TIMUR,12.81,9.84,1.01,12.56,18.22,89.77,78.03,99.82,13.64,70.70,1.40,"2,61",33.25,"1,28",0.6,76.88
KALIMANTAN UTARA,14.19,9.11,3.12,12.75,20.62,79.80,87.73,98.70,9.25,65.65,0.26,"3,73",28.85,"2,48",0.1,71.19
SULAWESI UTARA,15.13,9.62,0.21,6.91,37.32,84.85,84.58,99.76,14.34,69.50,0.97,"3,19",36.20,"3,28",0.7,73.3
SULAWESI TENGAH,25.18,8.89,1.61,10.63,35.01,76.06,82.23,97.85,7.48,62.70,1.11,"6,25",32.10,"10,29",1,69.79
SULAWESI SELATAN,17.31,8.46,6.82,7.93,46.22,91.57,89.08,99.41,11.51,69.11,3.35,"4,22",37.65,"3,46",3.1,72.24
SULAWESI TENGGARA,23.40,9.13,4.49,11.17,42.40,85.62,85.69,99.43,8.14,70.45,0.98,"7,59",39.20,"2,41",0.9,71.66
GORONTALO,31.02,7.90,1.21,14.84,31.69,78.58,86.87,99.26,6.42,67.28,0.43,"6,45",40.85,"1,15",0.5,69
SULAWESI BARAT,23.14,7.96,6.24,10.81,40.80,80.12,76.25,99.14,6.41,57.26,0.53,"6,98",36.10,"1,02",0.5,66.36
MALUKU,34.17,10.03,0.58,29.62,28.83,76.77,79.84,96.15,13.66,60.69,0.68,"4,45",31.50,"2,19",0.5,69.71
MALUKU UTARA,13.27,9.09,1.22,28.86,45.23,77.11,81.21,96.70,9.77,63.85,0.48,"5,41",28.90,"14,95",0.2,68.76
PAPUA BARAT,43.66,7.69,2.07,24.59,28.46,77.89,73.71,95.80,12.02,57.90,0.42,"2,78",37.00,"-2,14",0.3,65.26
PAPUA,11.61,6.76,19.98,37.37,30.07,40.81,36.97,79.12,7.10,28.92,1.60,"2,95",39.65,"13,43",1.8,60.62
