Province,Y,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14
ACEH,30.86,9.37,1.63,6.90,12.60,6.86,4.29,32.35,72.18,1.35,2.1,39.40,77.55,69.31,99.87
SUMATERA UTARA,17.50,9.58,0.78,6.33,12.34,14.13,3.83,31.35,72,1.12,4.3,42.39,82.02,68.22,99.16
SUMATERA BARAT,12.67,9.07,0.73,6.02,13.19,11.37,3.26,30.30,72.65,1.85,1.6,39.56,68.68,82.09,98.86
RIAU,14.12,9.19,0.76,10.61,9.38,11.82,3.2,32.65,72.94,1.87,1.4,36.57,83.64,74.93,98.32
JAMBI,15.76,8.60,1.79,9.25,9.85,5.95,3.85,31.80,71.63,2.32,0.9,46.33,80.36,73.41,99.03
SUMATERA SELATAN,25.63,8.30,1.14,6.82,10.15,6.18,3.32,34.05,70.24,2.3,2.6,52.39,77.29,75.28,98.98
BENGKULU,29.65,8.87,1.94,8.64,7.37,7.03,4.49,32.35,71.64,1.9,0.8,43.76,79.81,78.83,99.44
LAMPUNG,24.29,8.08,2.46,10.25,9.23,3.92,3.89,31.85,69.9,1.51,3.9,52.03,83.89,80.69,99.65
KEP. BANGKA BELITUNG,9.57,8.08,1.75,11.05,10.07,7.31,3.36,25.15,71.69,3.62,0.3,19.33,92.24,89.44,99.75
KEP. RIAU,11.87,10.18,0.84,7.71,20.03,25.95,2.25,34.10,75.79,1.85,0.3,14.47,91.62,83.77,99.71
DKI JAKARTA,9.39,11.17,0.29,2.20,17.01,34.63,2.61,41.00,81.11,2.89,1.2,24.11,95.17,79.52,100.00
JAWA BARAT,16.37,8.61,1.27,4.44,18.74,9.5,3.86,40.90,72.45,2.5,22.7,40.64,71.66,79.49,99.93
JAWA TENGAH,23.04,7.75,5.68,12.34,11.91,2.62,8.28,37.00,72.16,2.3,17.7,55.91,83.28,85.81,99.96
DI YOGYAKARTA,24.71,9.64,4.44,10.18,8.84,13.98,3.02,43.85,80.22,4.91,1.8,65.03,97.12,87.54,100.00
JAWA TIMUR,21.99,7.88,6.87,9.14,10.91,4.55,6.75,36.90,72.14,2.76,16.5,52.50,80.97,81.88,99.93
BANTEN,13.16,8.93,2.03,2.80,17.99,11.3,4.29,36.40,72.72,3.16,2.9,35.30,82.89,80.27,99.95
BALI,9.25,9.06,4.59,7.43,10.79,19.63,2.42,37.65,75.69,-3.19,0.8,40.93,95.95,91.30,99.91
NUSA TENGGARA BARAT,27.97,7.38,11.30,1.78,6.98,3.05,8.49,38.25,68.65,0.75,2.6,43.82,82.85,75.10,99.86
NUSA TENGGARA TIMUR,41.43,7.69,5.53,11.84,7.15,6.42,7.37,34.25,65.28,0.89,2.3,29.78,73.36,56.33,92.43
KALIMANTAN BARAT,13.99,7.45,5.97,19.60,11.55,3.48,4.48,31.40,67.9,3.37,1.6,51.77,78.39,74.94,96.51
KALIMANTAN TENGAH,10.32,8.64,0.88,8.88,8.78,7.22,4.18,32.15,71.25,2.17,0.5,30.45,73.77,79.63,98.75
KALIMANTAN SELATAN,9.39,8.34,1.64,2.78,9.28,8.19,6.46,32.75,71.28,2.12,0.9,39.80,81.43,87.16,99.76
KALIMANTAN TIMUR,12.81,9.84,1.01,12.56,13.64,16.7,2.61,33.25,76.88,1.28,0.6,18.22,89.77,78.03,99.82
KALIMANTAN UTARA,14.19,9.11,3.12,12.75,9.25,16.19,3.73,28.85,71.19,2.48,0.1,20.62,79.80,87.73,98.70
SULAWESI UTARA,15.13,9.62,0.21,6.91,14.34,6.13,3.19,36.20,73.3,3.28,0.7,37.32,84.85,84.58,99.76
SULAWESI TENGAH,25.18,8.89,1.61,10.63,7.48,6.06,6.25,32.10,69.79,10.29,1,35.01,76.06,82.23,97.85
SULAWESI SELATAN,17.31,8.46,6.82,7.93,11.51,4.71,4.22,37.65,72.24,3.46,3.1,46.22,91.57,89.08,99.41
SULAWESI TENGGARA,23.40,9.13,4.49,11.17,8.14,4.29,7.59,39.20,71.66,2.41,0.9,42.40,85.62,85.69,99.43
GORONTALO,31.02,7.90,1.21,14.84,6.42,3.9,6.45,40.85,69,1.15,0.5,31.69,78.58,86.87,99.26
SULAWESI BARAT,23.14,7.96,6.24,10.81,6.41,1.41,6.98,36.10,66.36,1.02,0.5,40.80,80.12,76.25,99.14
MALUKU,34.17,10.03,0.58,29.62,13.66,8.67,4.45,31.50,69.71,2.19,0.5,28.83,76.77,79.84,96.15
MALUKU UTARA,13.27,9.09,1.22,28.86,9.77,6.67,5.41,28.90,68.76,14.95,0.2,45.23,77.11,81.21,96.70
PAPUA BARAT,43.66,7.69,2.07,24.59,12.02,11.19,2.78,37.00,65.26,-2.14,0.3,28.46,77.89,73.71,95.80
PAPUA,11.61,6.76,19.98,37.37,7.10,7.87,2.95,39.65,60.62,13.43,1.8,30.07,40.81,36.97,79.12
