Province,Y,X1,X2,X3,X4,X5,X6,X7:,X8:,X9:,X10:
ACEH,30.86,1.35,9.37,12.6,39.4,69.31,1.96,72.18,6.9,1.63,64.43
SUMATERA UTARA,17.5,1.12,9.58,12.34,42.39,68.22,5.48,72,6.33,0.78,69.48
SUMATERA BARAT,12.67,1.85,9.07,13.19,39.56,82.09,2.05,72.65,6.02,0.73,56.67
RIAU,14.12,1.87,9.19,9.38,36.57,74.93,2.38,72.94,10.61,0.76,70.63
JAMBI,15.76,2.32,8.6,9.85,46.33,73.41,1.31,71.63,9.25,1.79,62.54
SUMATERA SELATAN,25.63,2.3,8.3,10.15,52.39,75.28,3.14,70.24,6.82,1.14,57.86
BENGKULU,29.65,1.9,8.87,7.37,43.76,78.83,0.75,71.64,8.64,1.94,51.36
LAMPUNG,24.29,1.51,8.08,9.23,52.03,80.69,3.33,69.9,10.25,2.46,61.56
KEP. BANGKA BELITUNG,9.57,3.62,8.08,10.07,19.33,89.44,0.54,71.69,11.05,1.75,27.6
KEP. RIAU,11.87,1.85,10.18,20.03,14.47,83.77,0.78,75.79,7.71,0.84,50.23
DKI JAKARTA,9.39,2.89,11.17,17.01,24.11,79.52,3.89,81.11,2.2,0.29,40
JAWA BARAT,16.37,2.5,8.61,18.74,40.64,79.49,17.89,72.45,4.44,1.27,53.14
JAWA TENGAH,23.04,2.3,7.75,11.91,55.91,85.81,13.47,72.16,12.34,5.68,66.47
DI YOGYAKARTA,24.71,4.91,9.64,8.84,65.03,87.54,1.36,80.22,10.18,4.44,85.15
JAWA TIMUR,21.99,2.76,7.88,10.91,52.5,81.88,14.99,72.14,9.14,6.87,66.93
BANTEN,13.16,3.16,8.93,17.99,35.3,80.27,4.42,72.72,2.8,2.03,60.78
BALI,9.25,-3.19,9.06,10.79,40.93,91.3,1.6,75.69,7.43,4.59,78.47
NUSA TENGGARA BARAT,27.97,0.75,7.38,6.98,43.82,75.1,1.98,68.65,1.78,11.3,62.9
NUSA TENGGARA TIMUR,41.43,0.89,7.69,7.15,29.78,56.33,1.98,65.28,11.84,5.53,40.41
KALIMANTAN BARAT,13.99,3.37,7.45,11.55,51.77,74.94,2.01,67.9,19.6,5.97,61.17
KALIMANTAN TENGAH,10.32,2.17,8.64,8.78,30.45,79.63,0.99,71.25,8.88,0.88,55.34
KALIMANTAN SELATAN,9.39,2.12,8.34,9.28,39.8,87.16,1.51,71.28,2.78,1.64,57.5
KALIMANTAN TIMUR,12.81,1.28,9.84,13.64,18.22,78.03,1.4,76.88,12.56,1.01,70.7
KALIMANTAN UTARA,14.19,2.48,9.11,9.25,20.62,87.73,0.26,71.19,12.75,3.12,65.65
SULAWESI UTARA,15.13,3.28,9.62,14.34,37.32,84.58,0.97,73.3,6.91,0.21,69.5
SULAWESI TENGAH,25.18,10.29,8.89,7.48,35.01,82.23,1.11,69.79,10.63,1.61,62.7
SULAWESI SELATAN,17.31,3.46,8.46,11.51,46.22,89.08,3.35,72.24,7.93,6.82,69.11
SULAWESI TENGGARA,23.4,2.41,9.13,8.14,42.4,85.69,0.98,71.66,11.17,4.49,70.45
GORONTALO,31.02,1.15,7.9,6.42,31.69,86.87,0.43,69,14.84,1.21,67.28
SULAWESI BARAT,23.14,1.02,7.96,6.41,40.8,76.25,0.53,66.36,10.81,6.24,57.26
MALUKU,34.17,2.19,10.03,13.66,28.83,79.84,0.68,69.71,29.62,0.58,60.69
MALUKU UTARA,13.27,14.95,9.09,9.77,45.23,81.21,0.48,68.76,28.86,1.22,63.85
PAPUA BARAT,43.66,-2.14,7.69,12.02,28.46,73.71,0.42,65.26,24.59,2.07,57.9
PAPUA,11.61,13.43,6.76,7.1,30.07,36.97,1.6,60.62,37.37,19.98,28.92
